package	version	handler	status	local_path	declared_sha256	local_sha256	url	site
351files	a7bb75dafca5c3f8e50e0f456b7ec249a69e1346	archive	present	sources/351files/351files-a7bb75dafca5c3f8e50e0f456b7ec249a69e1346.tar.gz		b854f371f957db1180627a7c6a8f8c0c7b14ff6d33bce85c37433ab522e6581d	https://github.com/Tardigrade-nx/351Files/archive/a7bb75dafca5c3f8e50e0f456b7ec249a69e1346.tar.gz	https://github.com/Tardigrade-nx/351Files
81	525d5c18f1ff3fc54c37e083a475225d9179d59d	archive	present	sources/81/81-525d5c18f1ff3fc54c37e083a475225d9179d59d.tar.gz	e4611e88159e3a77efe3b029f9edfa40127e98cb8af0e1a9d320cc4d3d137708	e4611e88159e3a77efe3b029f9edfa40127e98cb8af0e1a9d320cc4d3d137708	https://github.com/libretro/81-libretro/archive/525d5c18f1ff3fc54c37e083a475225d9179d59d.tar.gz	https://github.com/libretro/81-libretro
Jinja2	3.1.2	archive	present	sources/Jinja2/Jinja2-3.1.2.tar.gz	31351a702a408a9e7595a8fc6150fc3f43bb6bf7e319770cbc0db9df9437e852	31351a702a408a9e7595a8fc6150fc3f43bb6bf7e319770cbc0db9df9437e852	https://files.pythonhosted.org/packages/source/J/Jinja2/Jinja2-3.1.2.tar.gz	https://pypi.org/project/Jinja2/
MC	4.8.22	archive	present	sources/MC/MC-4.8.22.tar.xz	ee7868d7ba0498cf2cccefe107d7efee7f2571098806bba2aed5a159db801318	ee7868d7ba0498cf2cccefe107d7efee7f2571098806bba2aed5a159db801318	http://ftp.midnight-commander.org/mc-4.8.22.tar.xz	http://www.midnight-commander.org/
Mako	1.2.4	archive	missing	sources/Mako/Mako-1.2.4.tar.gz	d60a3903dc3bb01a18ad6a89cdbe2e4eadc69c0bc8ef1e3773ba53d44c3f7a34		https://files.pythonhosted.org/packages/source/M/Mako/Mako-1.2.4.tar.gz	https://pypi.org/project/Mako
MarkupSafe	2.1.1	archive	present	sources/MarkupSafe/MarkupSafe-2.1.1.tar.gz	7f91197cc9e48f989d12e4e6fbc46495c446636dfc81b9ccf50bb0ec74b91d4b	7f91197cc9e48f989d12e4e6fbc46495c446636dfc81b9ccf50bb0ec74b91d4b	https://files.pythonhosted.org/packages/source/M/MarkupSafe/MarkupSafe-2.1.1.tar.gz	https://pypi.org/project/MarkupSafe/
Pillow	9.3.0	archive	missing	sources/Pillow/Pillow-9.3.0.tar.gz	188b2a5fd445b2afa05bc0c1318ce49d4335ebbb69417fbb79acaf0a0784709e		https://github.com/python-pillow/Pillow/archive/9.3.0.tar.gz	https://python-pillow.org/
Python3	3.11.7	archive	present	sources/Python3/Python3-3.11.7.tar.xz	18e1aa7e66ff3a58423d59ed22815a6954e53342122c45df20c96877c062b9b7	18e1aa7e66ff3a58423d59ed22815a6954e53342122c45df20c96877c062b9b7	https://www.python.org/ftp/python/3.11.7/Python-3.11.7.tar.xz	https://www.python.org/
RTL8152-aml	cee2df544a6013a8efe4ed1493f594ca50b8d3c8	archive	missing	sources/RTL8152-aml/RTL8152-aml-cee2df544a6013a8efe4ed1493f594ca50b8d3c8.tar.gz	fadfebca469e2203e5aee1c727a7e3916f85a3a5f499c08fce0138bc67c1c92e		https://github.com/bb-qq/r8152/archive/cee2df544a6013a8efe4ed1493f594ca50b8d3c8.tar.gz	https://github.com/bb-qq/r8152
RTL815x	9983081a459423df6bbc78fbfadddddb027ba202	archive	missing	sources/RTL815x/RTL815x-9983081a459423df6bbc78fbfadddddb027ba202.tar.gz			https://github.com/dhwz/realtek-r8152-linux/archive/9983081a459423df6bbc78fbfadddddb027ba202.tar.gz	https://github.com/dhwz/realtek-r8152-linux
RTL8188EU	9a56f32c2a46be5b81f0eedf49ad44ea8f10bfae	archive	missing	sources/RTL8188EU/RTL8188EU-9a56f32c2a46be5b81f0eedf49ad44ea8f10bfae.tar.gz	c8f225ff85cdc49e4a043773234e42de38aac0d2c9322829dac21c2ba72fed87		https://github.com/lwfinger/rtl8188eu/archive/9a56f32c2a46be5b81f0eedf49ad44ea8f10bfae.tar.gz	https://github.com/lwfinger/rtl8188eu
RTL8188EU-aml	2d358c5	archive	missing	sources/RTL8188EU-aml/RTL8188EU-aml-2d358c5.tar.gz	adf31d56d3a94bca814f1bd0de24af61fae85d25a259124b5d16c1d23cc72c91		https://github.com/khadas/android_hardware_wifi_realtek_drivers_8188eu/archive/2d358c5.tar.gz	https://github.com/khadas/android_hardware_wifi_realtek_drivers_8188eu
RTL8188FU	0ede0794073495da694aeb52cdd748c6ba2ff21c	archive	missing	sources/RTL8188FU/RTL8188FU-0ede0794073495da694aeb52cdd748c6ba2ff21c.tar.gz			https://github.com/kelebek333/rtl8188fu/archive/0ede0794073495da694aeb52cdd748c6ba2ff21c.tar.gz	https://github.com/kelebek333/rtl8188fu
RTL8189ES-aml	f971e4b	archive	missing	sources/RTL8189ES-aml/RTL8189ES-aml-f971e4b.tar.gz	a87d891e3a42d70429b39f01216775dee95b0dc9093f9576ca7417e74f21ee2b		https://github.com/khadas/android_hardware_wifi_realtek_drivers_8189es/archive/f971e4b.tar.gz	https://github.com/khadas/android_hardware_wifi_realtek_drivers_8189es
RTL8189FS-aml	11cdc07dd29ab4055ec76974e246708ae8457605	archive	missing	sources/RTL8189FS-aml/RTL8189FS-aml-11cdc07dd29ab4055ec76974e246708ae8457605.tar.gz	ea777e31551fb54446d9591d19c4ada0ce0ba9a6655e0e55c60693dafc4a9801		https://github.com/khadas/android_hardware_wifi_realtek_drivers_8189ftv/archive/11cdc07dd29ab4055ec76974e246708ae8457605.tar.gz	https://github.com/khadas/android_hardware_wifi_realtek_drivers_8189ftv
RTL8192CU	f32ef3984db7c7f7644edec0fa28a63a47b1a7d6	archive	missing	sources/RTL8192CU/RTL8192CU-f32ef3984db7c7f7644edec0fa28a63a47b1a7d6.tar.gz	7e8df7cce0918630121c7493a6333d392b3099b1126e8c355aa221cee032c80b		https://github.com/pvaret/rtl8192cu-fixes/archive/f32ef3984db7c7f7644edec0fa28a63a47b1a7d6.tar.gz	https://github.com/pvaret/rtl8192cu-fixes
RTL8192DU	72b53f8a6c2a6696d60791df4455c3073fffc4e4	archive	missing	sources/RTL8192DU/RTL8192DU-72b53f8a6c2a6696d60791df4455c3073fffc4e4.tar.gz	dec3cc45601c2c6dab47816523cb5a5731393d34cc75ec0f96a91191d3563fdd		https://github.com/lwfinger/rtl8192du/archive/72b53f8a6c2a6696d60791df4455c3073fffc4e4.tar.gz	https://github.com/lwfinger/rtl8192du
RTL8192EU	0a7199b457b25edc4d9534158a068e486b1c8bb0	archive	missing	sources/RTL8192EU/RTL8192EU-0a7199b457b25edc4d9534158a068e486b1c8bb0.tar.gz	defee6fda236bc9d77cd5cf0ceca8e86f820a1f9fa5d63c5ca7c369be1a3513e		https://github.com/Mange/rtl8192eu-linux-driver/archive/0a7199b457b25edc4d9534158a068e486b1c8bb0.tar.gz	https://github.com/Mange/rtl8192eu-linux-driver
